Sourcerecord id,"Source Title (Medline-sourced journals are indicated in Green)
Titles indicated in bold red do not meet the Scopus quality criteria anymore and therefore Scopus discontinued the forward capturing",Print-ISSN,E-ISSN,2017 CiteScore,"2017
SJR","2017
SNIP"
24651,Acta Crystallographica Section C: Crystal Structure Communications,1082701,16005759,,,
24658,Acta Crystallographica Section D: Biological Crystallography,9074449,13990047,,,
21100778657,Acta Crystallographica Section D: Structural Biology,,20597983,2.98,2.462,0.951
21100427192,Acta Crystallographica Section E: Crystallographic Communications,,20569890,0.32,0.153,0.117
144910,Acta Crystallographica Section E: Structure Reports Online,16005368,,,0.138,0.185
4000151704,Acta Crystallographica Section F: Structural Biology and Crystallization Communications,17443091,,,,
21100326880,Acta Crystallographica Section F: Structural Biology Communications,,2053230X,0.93,0.592,0.315
66358,Acta crystallographica. Section B: Structural crystallography and crystal chemistry,5677408,,,,
21100316073,"Acta crystallographica. Section C, Structural chemistry",,20532296,2.55,0.834,1.213
13024,Acta Cybernetica,0324721X,,0.41,0.172,0.472
18385,Acta Cytologica,15547,,1.19,0.48,0.67
40729,Acta Dermatologica,651176,,,,
62928,Acta dermatologica-Kyoto. English edition,3760189,,,,
24213,Acta Dermato-Venereologica,15555,16512057,1.7,1.089,0.998
24215,"Acta Dermato-Venereologica, Supplement",3658341,,,,
36814,"Acta Dermatovenerologica Alpina, Panonica et Adriatica",13184458,,0.91,0.373,0.611
24217,Acta Dermatovenerologica Croatica,1330027X,,0.75,0.37,0.537
110313,Acta Dermatovenerologica Iugoslavica,3024466,,,,
25387,Acta Diabetologica,9405429,,2.78,1.587,1.067
38038,Acta Diabetologica Latina,15563,,,,
130109,Acta Ecologica Sinica,10000933,,0.56,0.18,0.31
64540,Acta Embryologiae et Morphologiae Experimentalis,3919706,,,,
54094,Acta embryologiae et morphologiae experimentalis,5677416,,,,
39806,Acta Embryologiae Experimentalis,651184,,,,
5100155028,Acta Endocrinologica,18410987,1843066X,0.34,0.153,0.277
39749,Acta Endocrinologica,15598,,,,
19700171502,Acta endocrinologica Iberica,4004000,,,,
35158,"Acta Endocrinologica, Supplement",3009750,,,,
27819,Acta Endoscopica,0240642X,12421383,,0.101,0.032
81929,Acta Endoscopica et Radiocinematographica,3979164,,,,
95198,Acta Endoscopica Polona,8674140,,,,
19700177038,Acta Entomologica Musei Nationalis Pragae,3741036,18046487,0.87,0.477,1.053
31320,Acta Entomologica Sinica,4546296,,,,
21100329307,Acta et Commentationes Universitatis Tartuensis de Mathematica,14062283,22284699,0.1,0.114,0.183
79684,Acta Ethnographica Hungarica,12169803,15882586,0.07,0.121,0.159
24090,Acta Ethologica,8739749,14379546,1.45,0.769,0.856
26535,Acta Facultatis Medicae Fluminensis,651206,,,,
17900156708,Acta Facultatis Medicae Naissensis,3516083,22172521,0.27,0.14,0.24
19900191350,Acta Facultatis Pharmaceuticae Universitatis Comenianae,3012298,,,,
7700153234,Acta Facultatis Xylologiae,13363824,,0.75,0.278,0.449
19381,Acta Farmaceutica Bonaerense,3262383,,0.42,0.152,0.377
85399,Acta Forestalia Fennica,15636,,,,
27820,Acta Gastro-Enterologica Belgica,15644,,0.49,0.284,0.309
27821,Acta Gastroenterologica Latinoamericana,3009033,,0.14,0.138,0.102
101417,Acta genetica et statistica medica,5677440,,,,
21651,Acta Geneticae Medicae et Gemellologiae,15660,,,,
21100453523,Acta Geochimica,20960956,23657499,0.75,0.24,0.492
144612,Acta Geodaetica et Cartographica Sinica,10011595,,0.94,0.357,0.818
21100236211,Acta Geodaetica et Geophysica,22135812,22135820,0.72,0.305,0.639
27409,Acta Geodaetica et Geophysica Hungarica,12178977,15871037,,,
31323,"Acta Geodaetica, Geophysica et Montanistica",3741842,,,,
31324,"Acta Geodaetica, Geophysica et Montanistica Hungarica",2365758,,,,
19700175246,Acta Geodynamica et Geomaterialia,12149705,23364351,0.83,0.267,0.857
92995,Acta Geographica,15687,,,,
31327,Acta Geographica Croatica,13300466,,,,
27082,Acta Geographica Lodziensia,651249,,,,
27097,Acta Geographica Lovaniensia,651257,,,,
28066,Acta Geographica Sinica,3755444,,1.23,0.45,0.831
27099,Acta Geographica Slovenica,15818314,,1.46,0.418,1.441
86955,Acta Geologica Hispanica,5677505,,,,
24521,Acta Geologica Hungarica,2365278,,,,
24523,Acta Geologica Polonica,15709,,1.05,0.68,0.788
25750,Acta Geologica Sinica,15717,,0.84,0.526,0.82
24524,Acta Geologica Sinica (English Edition),10009515,,,,
21100255102,Acta Geologica Slovaca,13380044,13385674,0.54,0.248,0.561
4700152838,Acta Geophysica,18956572,18957455,0.83,0.312,0.568
27412,Acta Geophysica Polonica,15725,,,,
27875,Acta Geophysica Sinica,15733,,1.15,0.524,0.858
21100239246,Acta Geoscientica Sinica,10063021,,0.81,0.378,0.582
4700152635,Acta Geotechnica,18611125,18611133,2.68,1.588,1.507
21100283763,Acta Geotechnica Slovenica,18540171,,0.44,0.229,0.352
30055,Acta Ginecologica,15776,,,,
21100394733,Acta Gymnica,23364912,23364920,0.56,0.214,0.532
90379,Acta gynaecologica et obstetrica Hispano-Lusitana,15784,,,,
25419,Acta Haematologica,15792,14219662,1.11,0.575,0.545
25421,Acta Haematologica Polonica,15814,,0.21,0.128,0.119
34258,Acta Hepato-Gastroenterologica,0300970X,,,,
19400158033,Acta hepatologica,,,,,
25317,Acta Hepatologica Japonica,4514203,,0.07,0.13,0.029
61156,Acta hepato-splenologica,15822,,,,
19700170812,Acta Herpetologica,18279635,18279643,0.94,0.357,0.49
16756,Acta Histochemica,651281,,1.74,0.661,0.678
18386,Acta Histochemica et Cytochemica,445991,13475800,0.99,0.446,0.443
