"ISSN","T.tulo","Estrato","Area"
"13112872","INTERNATIONAL JOURNAL OF DIFFERENTIAL EQUATIONS AND APPLICATIONS (PRINT)","B5","matematica_probabilidade_e_estatistica"
"09752919","INTERNATIONAL JOURNAL OF FUNCTIONAL ANALYSIS, OPERATOR THEORY & APPLICATIONS","B5","matematica_probabilidade_e_estatistica"
"22500480","INTERNATIONAL JOURNAL OF LIFESCIENCE AND PHARMA RESEARCH","C ","matematica_probabilidade_e_estatistica"
"13127594","INTERNATIONAL JOURNAL OF MATHEMATICAL ANALYSIS","C ","matematica_probabilidade_e_estatistica"
"10991859","INTERNATIONAL JOURNAL OF MATHEMATICS, GAME THEORY, AND ALGEBRA","C ","matematica_probabilidade_e_estatistica"
"17493897","INTERNATIONAL JOURNAL OF NONLINEAR SCIENCE","B5","matematica_probabilidade_e_estatistica"
"23567082","INTERNATIONAL JOURNAL OF PARTIAL DIFFERENTIAL EQUATIONS","B5","matematica_probabilidade_e_estatistica"
"22501436","INVESTIGATIONS IN MATHEMATICAL SCIENCES","C ","matematica_probabilidade_e_estatistica"
"20905599","ISRN CARDIOLOGY","C ","matematica_probabilidade_e_estatistica"
"20907427","ISRN HIGH ENERGY PHYSICS","C ","matematica_probabilidade_e_estatistica"
"00120456","JAHRESBERICHT DER DEUTSCHEN MATHEMATIKER-VEREINIGUNG","B3","matematica_probabilidade_e_estatistica"
"19429649","JOURNAL OF ADVANCED RESEARCH IN APPLIED MATHEMATICS","C ","matematica_probabilidade_e_estatistica"
"18652085","JOURNAL OF APPLIED MATHEMATICS AND COMPUTING","B3","matematica_probabilidade_e_estatistica"
"16872177","JOURNAL OF APPLIED MATHEMATICS AND STOCHASTIC ANALYSIS (ON-LINE)","B5","matematica_probabilidade_e_estatistica"
"19392346","JOURNAL OF COMMUTATIVE ALGEBRA","B1","matematica_probabilidade_e_estatistica"
"15729222","JOURNAL OF DYNAMICS AND DIFFERENTIAL EQUATIONS","A2","matematica_probabilidade_e_estatistica"
"19451296","JOURNAL OF ENVIRONMENTAL STATISTICS","B4","matematica_probabilidade_e_estatistica"
"14243202","JOURNAL OF EVOLUTION EQUATIONS (ONLINE ED.)","B1","matematica_probabilidade_e_estatistica"
"16617738","JOURNAL OF FIXED POINT THEORY AND ITS APPLICATIONS (PRINT)","B1","matematica_probabilidade_e_estatistica"
"17364337","JOURNAL OF GENERALIZED LIE THEORY AND APPLICATIONS","C ","matematica_probabilidade_e_estatistica"
